,key_id,tournament_id,award_id,award_name,shared,player_id,team_id,team_name
0,1,WC-1930,A-4,Golden Boot,0,P-56486,T-03,Argentina
1,2,WC-1930,A-5,Silver Boot,0,P-18628,T-84,Uruguay
2,3,WC-1930,A-6,Bronze Boot,0,P-71973,T-83,United States
3,4,WC-1934,A-4,Golden Boot,0,P-60513,T-21,Czechoslovakia
4,5,WC-1934,A-5,Silver Boot,1,P-77348,T-31,Germany
5,6,WC-1934,A-5,Silver Boot,1,P-56703,T-41,Italy
6,7,WC-1938,A-4,Golden Boot,0,P-09730,T-09,Brazil
7,8,WC-1938,A-5,Silver Boot,1,P-65885,T-41,Italy
8,9,WC-1938,A-5,Silver Boot,1,P-89034,T-36,Hungary
9,10,WC-1938,A-5,Silver Boot,1,P-67652,T-36,Hungary
10,11,WC-1950,A-4,Golden Boot,0,P-49381,T-09,Brazil
11,12,WC-1950,A-5,Silver Boot,0,P-18523,T-84,Uruguay
12,13,WC-1950,A-6,Bronze Boot,1,P-26928,T-73,Spain
13,14,WC-1950,A-6,Bronze Boot,1,P-22428,T-09,Brazil
14,15,WC-1950,A-6,Bronze Boot,1,P-16302,T-84,Uruguay
15,16,WC-1950,A-6,Bronze Boot,1,P-65220,T-73,Spain
16,17,WC-1954,A-4,Golden Boot,0,P-07028,T-36,Hungary
17,18,WC-1954,A-5,Silver Boot,1,P-14406,T-75,Switzerland
18,19,WC-1954,A-5,Silver Boot,1,P-05766,T-86,West Germany
19,20,WC-1954,A-5,Silver Boot,1,P-85257,T-05,Austria
20,21,WC-1958,A-4,Golden Boot,0,P-77939,T-30,France
21,22,WC-1958,A-5,Silver Boot,1,P-38906,T-09,Brazil
22,23,WC-1958,A-5,Silver Boot,1,P-08136,T-86,West Germany
23,24,WC-1958,A-8,Best Young Player,0,P-38906,T-09,Brazil
24,25,WC-1962,A-4,Golden Boot,1,P-21188,T-36,Hungary
25,26,WC-1962,A-4,Golden Boot,1,P-46080,T-09,Brazil
26,27,WC-1962,A-4,Golden Boot,1,P-11702,T-72,Soviet Union
27,28,WC-1962,A-4,Golden Boot,1,P-55024,T-87,Yugoslavia
28,29,WC-1962,A-4,Golden Boot,1,P-22224,T-13,Chile
29,30,WC-1962,A-4,Golden Boot,1,P-45310,T-09,Brazil
30,31,WC-1962,A-8,Best Young Player,0,P-21188,T-36,Hungary
31,32,WC-1966,A-4,Golden Boot,0,P-74747,T-58,Portugal
32,33,WC-1966,A-5,Silver Boot,0,P-12272,T-86,West Germany
33,34,WC-1966,A-6,Bronze Boot,1,P-72864,T-86,West Germany
34,35,WC-1966,A-6,Bronze Boot,1,P-82516,T-36,Hungary
35,36,WC-1966,A-6,Bronze Boot,1,P-34802,T-28,England
36,37,WC-1966,A-6,Bronze Boot,1,P-53800,T-72,Soviet Union
37,38,WC-1966,A-8,Best Young Player,0,P-72864,T-86,West Germany
38,39,WC-1970,A-4,Golden Boot,0,P-72441,T-86,West Germany
39,40,WC-1970,A-5,Silver Boot,0,P-77430,T-09,Brazil
40,41,WC-1970,A-6,Bronze Boot,0,P-96979,T-56,Peru
41,42,WC-1970,A-8,Best Young Player,0,P-96979,T-56,Peru
42,43,WC-1974,A-4,Golden Boot,0,P-21597,T-57,Poland
43,44,WC-1974,A-5,Silver Boot,1,P-16991,T-48,Netherlands
44,45,WC-1974,A-5,Silver Boot,1,P-92867,T-57,Poland
45,46,WC-1974,A-8,Best Young Player,0,P-48883,T-57,Poland
46,47,WC-1978,A-1,Golden Ball,0,P-35082,T-03,Argentina
47,48,WC-1978,A-2,Silver Ball,0,P-91717,T-41,Italy
48,49,WC-1978,A-3,Bronze Ball,0,P-89519,T-09,Brazil
49,50,WC-1978,A-4,Golden Boot,0,P-35082,T-03,Argentina
50,51,WC-1978,A-5,Silver Boot,0,P-96979,T-56,Peru
51,52,WC-1978,A-6,Bronze Boot,0,P-63266,T-48,Netherlands
52,53,WC-1978,A-8,Best Young Player,0,P-03775,T-41,Italy
53,54,WC-1982,A-1,Golden Ball,0,P-91717,T-41,Italy
54,55,WC-1982,A-2,Silver Ball,0,P-35736,T-09,Brazil
55,56,WC-1982,A-3,Bronze Ball,0,P-59574,T-86,West Germany
56,57,WC-1982,A-4,Golden Boot,0,P-91717,T-41,Italy
57,58,WC-1982,A-5,Silver Boot,0,P-59574,T-86,West Germany
58,59,WC-1982,A-6,Bronze Boot,0,P-37483,T-09,Brazil
59,60,WC-1982,A-8,Best Young Player,0,P-69834,T-30,France
60,61,WC-1986,A-1,Golden Ball,0,P-80404,T-03,Argentina
61,62,WC-1986,A-2,Silver Ball,0,P-07171,T-86,West Germany
62,63,WC-1986,A-3,Bronze Ball,0,P-36502,T-22,Denmark
63,64,WC-1986,A-4,Golden Boot,0,P-36651,T-28,England
64,65,WC-1986,A-5,Silver Boot,1,P-12940,T-73,Spain
65,66,WC-1986,A-5,Silver Boot,1,P-90635,T-09,Brazil
66,67,WC-1986,A-5,Silver Boot,1,P-80404,T-03,Argentina
67,68,WC-1986,A-8,Best Young Player,0,P-97414,T-06,Belgium
68,69,WC-1990,A-1,Golden Ball,0,P-76544,T-41,Italy
69,70,WC-1990,A-2,Silver Ball,0,P-49502,T-86,West Germany
70,71,WC-1990,A-3,Bronze Ball,0,P-80404,T-03,Argentina
71,72,WC-1990,A-4,Golden Boot,0,P-76544,T-41,Italy
72,73,WC-1990,A-5,Silver Boot,0,P-71260,T-21,Czechoslovakia
73,74,WC-1990,A-6,Bronze Boot,1,P-36651,T-28,England
74,75,WC-1990,A-6,Bronze Boot,1,P-58080,T-11,Cameroon
75,76,WC-1990,A-8,Best Young Player,0,P-62861,T-87,Yugoslavia
76,77,WC-1991,A-1,Golden Ball,0,P-99328,T-83,United States
77,78,WC-1991,A-2,Silver Ball,0,P-54794,T-83,United States
78,79,WC-1991,A-3,Bronze Ball,0,P-58688,T-53,Norway
79,80,WC-1991,A-4,Golden Boot,0,P-54794,T-83,United States
80,81,WC-1991,A-5,Silver Boot,0,P-30335,T-31,Germany
81,82,WC-1991,A-6,Bronze Boot,1,P-99328,T-83,United States
82,83,WC-1991,A-6,Bronze Boot,1,P-58688,T-53,Norway
83,84,WC-1994,A-1,Golden Ball,0,P-61251,T-09,Brazil
84,85,WC-1994,A-2,Silver Ball,0,P-78756,T-41,Italy
85,86,WC-1994,A-3,Bronze Ball,0,P-81648,T-10,Bulgaria
86,87,WC-1994,A-4,Golden Boot,1,P-73354,T-62,Russia
87,88,WC-1994,A-4,Golden Boot,1,P-81648,T-10,Bulgaria
88,89,WC-1994,A-6,Bronze Boot,1,P-60371,T-74,Sweden
89,90,WC-1994,A-6,Bronze Boot,1,P-61251,T-09,Brazil
90,91,WC-1994,A-7,Golden Glove,0,P-00531,T-06,Belgium
91,92,WC-1994,A-8,Best Young Player,0,P-33834,T-48,Netherlands
92,93,WC-1995,A-1,Golden Ball,0,P-84389,T-53,Norway
93,94,WC-1995,A-2,Silver Ball,0,P-67204,T-53,Norway
94,95,WC-1995,A-3,Bronze Ball,0,P-29915,T-53,Norway
95,96,WC-1995,A-4,Golden Boot,0,P-29915,T-53,Norway
96,97,WC-1995,A-5,Silver Boot,0,P-84389,T-53,Norway
97,98,WC-1995,A-6,Bronze Boot,0,P-35093,T-14,China
98,99,WC-1998,A-1,Golden Ball,0,P-62722,T-09,Brazil
99,100,WC-1998,A-2,Silver Ball,0,P-58374,T-18,Croatia
100,101,WC-1998,A-3,Bronze Ball,0,P-56947,T-30,France
101,102,WC-1998,A-4,Golden Boot,0,P-58374,T-18,Croatia
102,103,WC-1998,A-5,Silver Boot,1,P-84542,T-03,Argentina
103,104,WC-1998,A-5,Silver Boot,1,P-34670,T-41,Italy
104,105,WC-1998,A-7,Golden Glove,0,P-55991,T-30,France
105,106,WC-1998,A-8,Best Young Player,0,P-51130,T-28,England
106,107,WC-1999,A-1,Golden Ball,0,P-14903,T-14,China
107,108,WC-1999,A-2,Silver Ball,0,P-57452,T-09,Brazil
108,109,WC-1999,A-3,Bronze Ball,0,P-54794,T-83,United States
109,110,WC-1999,A-4,Golden Boot,1,P-57452,T-09,Brazil
110,111,WC-1999,A-4,Golden Boot,1,P-14903,T-14,China
111,112,WC-1999,A-6,Bronze Boot,0,P-29915,T-53,Norway
112,113,WC-1999,A-7,Golden Glove,1,P-75180,T-14,China
113,114,WC-1999,A-7,Golden Glove,1,P-17759,T-83,United States
114,115,WC-2002,A-1,Golden Ball,0,P-33751,T-31,Germany
115,116,WC-2002,A-2,Silver Ball,0,P-62722,T-09,Brazil
116,117,WC-2002,A-3,Bronze Ball,0,P-55097,T-71,South Korea
117,118,WC-2002,A-4,Golden Boot,0,P-62722,T-09,Brazil
118,119,WC-2002,A-5,Silver Boot,1,P-27787,T-31,Germany
119,120,WC-2002,A-5,Silver Boot,1,P-74261,T-09,Brazil
120,121,WC-2002,A-7,Golden Glove,0,P-33751,T-31,Germany
121,122,WC-2002,A-8,Best Young Player,0,P-05728,T-83,United States
122,123,WC-2003,A-1,Golden Ball,0,P-52478,T-31,Germany
123,124,WC-2003,A-2,Silver Ball,0,P-36470,T-74,Sweden
124,125,WC-2003,A-3,Bronze Ball,0,P-50598,T-31,Germany
125,126,WC-2003,A-4,Golden Boot,0,P-52478,T-31,Germany
126,127,WC-2003,A-5,Silver Boot,0,P-50598,T-31,Germany
127,128,WC-2003,A-6,Bronze Boot,0,P-90420,T-09,Brazil
128,129,WC-2003,A-7,Golden Glove,0,P-36668,T-31,Germany
129,130,WC-2006,A-1,Golden Ball,0,P-56430,T-30,France
130,131,WC-2006,A-2,Silver Ball,0,P-88863,T-41,Italy
131,132,WC-2006,A-3,Bronze Ball,0,P-99537,T-41,Italy
132,133,WC-2006,A-4,Golden Boot,0,P-27787,T-31,Germany
133,134,WC-2006,A-5,Silver Boot,0,P-19888,T-03,Argentina
134,135,WC-2006,A-6,Bronze Boot,0,P-62722,T-09,Brazil
135,136,WC-2006,A-7,Golden Glove,0,P-11392,T-41,Italy
136,137,WC-2006,A-8,Best Young Player,0,P-36287,T-31,Germany
137,138,WC-2007,A-1,Golden Ball,0,P-07458,T-09,Brazil
138,139,WC-2007,A-2,Silver Ball,0,P-52478,T-31,Germany
139,140,WC-2007,A-3,Bronze Ball,0,P-93057,T-09,Brazil
140,141,WC-2007,A-4,Golden Boot,0,P-07458,T-09,Brazil
141,142,WC-2007,A-5,Silver Boot,0,P-89236,T-83,United States
142,143,WC-2007,A-6,Bronze Boot,0,P-74483,T-53,Norway
143,144,WC-2007,A-7,Golden Glove,0,P-54576,T-31,Germany
144,145,WC-2010,A-1,Golden Ball,0,P-86087,T-84,Uruguay
145,146,WC-2010,A-2,Silver Ball,0,P-51336,T-48,Netherlands
146,147,WC-2010,A-3,Bronze Ball,0,P-49097,T-73,Spain
147,148,WC-2010,A-4,Golden Boot,0,P-28154,T-31,Germany
148,149,WC-2010,A-5,Silver Boot,0,P-49097,T-73,Spain
149,150,WC-2010,A-6,Bronze Boot,0,P-51336,T-48,Netherlands
150,151,WC-2010,A-7,Golden Glove,0,P-61793,T-73,Spain
151,152,WC-2010,A-8,Best Young Player,0,P-28154,T-31,Germany
152,153,WC-2011,A-1,Golden Ball,0,P-72113,T-44,Japan
153,154,WC-2011,A-2,Silver Ball,0,P-89236,T-83,United States
154,155,WC-2011,A-3,Bronze Ball,0,P-80833,T-83,United States
155,156,WC-2011,A-4,Golden Boot,0,P-72113,T-44,Japan
156,157,WC-2011,A-5,Silver Boot,0,P-07458,T-09,Brazil
157,158,WC-2011,A-6,Bronze Boot,0,P-89236,T-83,United States
158,159,WC-2011,A-7,Golden Glove,0,P-80833,T-83,United States
159,160,WC-2011,A-8,Best Young Player,0,P-87785,T-04,Australia
160,161,WC-2014,A-1,Golden Ball,0,P-14758,T-03,Argentina
161,162,WC-2014,A-2,Silver Ball,0,P-28154,T-31,Germany
162,163,WC-2014,A-3,Bronze Ball,0,P-23705,T-48,Netherlands
163,164,WC-2014,A-4,Golden Boot,0,P-89392,T-16,Colombia
164,165,WC-2014,A-5,Silver Boot,0,P-28154,T-31,Germany
165,166,WC-2014,A-6,Bronze Boot,0,P-87008,T-09,Brazil
166,167,WC-2014,A-7,Golden Glove,0,P-19408,T-31,Germany
167,168,WC-2014,A-8,Best Young Player,0,P-17509,T-30,France
168,169,WC-2015,A-1,Golden Ball,0,P-62104,T-83,United States
169,170,WC-2015,A-2,Silver Ball,0,P-64050,T-30,France
170,171,WC-2015,A-3,Bronze Ball,0,P-04310,T-44,Japan
171,172,WC-2015,A-4,Golden Boot,0,P-66612,T-31,Germany
172,173,WC-2015,A-5,Silver Boot,0,P-62104,T-83,United States
173,174,WC-2015,A-6,Bronze Boot,0,P-30564,T-31,Germany
174,175,WC-2015,A-7,Golden Glove,0,P-80833,T-83,United States
175,176,WC-2015,A-8,Best Young Player,0,P-60142,T-12,Canada
176,177,WC-2018,A-1,Golden Ball,0,P-29491,T-18,Croatia
177,178,WC-2018,A-2,Silver Ball,0,P-72011,T-06,Belgium
178,179,WC-2018,A-3,Bronze Ball,0,P-90908,T-30,France
179,180,WC-2018,A-4,Golden Boot,0,P-58924,T-28,England
180,181,WC-2018,A-5,Silver Boot,0,P-90908,T-30,France
181,182,WC-2018,A-6,Bronze Boot,0,P-72637,T-06,Belgium
182,183,WC-2018,A-7,Golden Glove,0,P-09658,T-06,Belgium
183,184,WC-2018,A-8,Best Young Player,0,P-64077,T-30,France
184,185,WC-2019,A-1,Golden Ball,0,P-09273,T-83,United States
185,186,WC-2019,A-2,Silver Ball,0,P-23779,T-28,England
186,187,WC-2019,A-3,Bronze Ball,0,P-65982,T-83,United States
187,188,WC-2019,A-4,Golden Boot,0,P-09273,T-83,United States
188,189,WC-2019,A-5,Silver Boot,0,P-37034,T-83,United States
189,190,WC-2019,A-6,Bronze Boot,0,P-84864,T-28,England
190,191,WC-2019,A-7,Golden Glove,0,P-47320,T-48,Netherlands
191,192,WC-2019,A-8,Best Young Player,0,P-91637,T-31,Germany
192,193,WC-2022,A-1,Golden Ball,0,P-14758,T-03,Argentina
193,194,WC-2022,A-2,Silver Ball,0,P-64077,T-30,France
194,195,WC-2022,A-3,Bronze Ball,0,P-29491,T-18,Croatia
195,196,WC-2022,A-4,Golden Boot,0,P-64077,T-30,France
196,197,WC-2022,A-5,Silver Boot,0,P-14758,T-03,Argentina
197,198,WC-2022,A-6,Bronze Boot,0,P-89750,T-30,France
198,199,WC-2022,A-7,Golden Glove,0,P-13162,T-03,Argentina
199,200,WC-2022,A-8,Best Young Player,0,P-10739,T-03,Argentina
