,key_id,tournament_id,stage_number,stage_name,group_name,position,team_id,played,wins,draws,losses,goals_for,goals_against,points,advanced
0,1,WC-1930,1,group stage,Group 1,1,T-03,3,3,0,0,10,4,6,1
1,2,WC-1930,1,group stage,Group 1,2,T-13,3,2,0,1,5,3,4,0
2,3,WC-1930,1,group stage,Group 1,3,T-30,3,1,0,2,4,3,2,0
3,4,WC-1930,1,group stage,Group 1,4,T-46,3,0,0,3,4,13,0,0
4,5,WC-1930,1,group stage,Group 2,1,T-87,2,2,0,0,6,1,4,1
5,6,WC-1930,1,group stage,Group 2,2,T-09,2,1,0,1,5,2,2,0
6,7,WC-1930,1,group stage,Group 2,3,T-07,2,0,0,2,0,8,0,0
7,8,WC-1930,1,group stage,Group 3,1,T-84,2,2,0,0,5,0,4,1
8,9,WC-1930,1,group stage,Group 3,2,T-61,2,1,0,1,3,5,2,0
9,10,WC-1930,1,group stage,Group 3,3,T-56,2,0,0,2,1,4,0,0
10,11,WC-1930,1,group stage,Group 4,1,T-83,2,2,0,0,6,0,4,1
11,12,WC-1930,1,group stage,Group 4,2,T-55,2,1,0,1,1,3,2,0
12,13,WC-1930,1,group stage,Group 4,3,T-06,2,0,0,2,0,4,0,0
13,14,WC-1950,1,first round,Group 1,1,T-09,3,2,1,0,8,2,5,1
14,15,WC-1950,1,first round,Group 1,2,T-87,3,2,0,1,7,3,4,0
15,16,WC-1950,1,first round,Group 1,3,T-75,3,1,1,1,4,6,3,0
16,17,WC-1950,1,first round,Group 1,4,T-46,3,0,0,3,2,10,0,0
17,18,WC-1950,1,first round,Group 2,1,T-73,3,3,0,0,6,1,6,1
18,19,WC-1950,1,first round,Group 2,2,T-28,3,1,0,2,2,2,2,0
19,20,WC-1950,1,first round,Group 2,3,T-13,3,1,0,2,5,6,2,0
20,21,WC-1950,1,first round,Group 2,4,T-83,3,1,0,2,4,8,2,0
21,22,WC-1950,1,first round,Group 3,1,T-74,2,1,1,0,5,4,3,1
22,23,WC-1950,1,first round,Group 3,2,T-41,2,1,0,1,4,3,2,0
23,24,WC-1950,1,first round,Group 3,3,T-55,2,0,1,1,2,4,1,0
24,25,WC-1950,1,first round,Group 4,1,T-84,1,1,0,0,8,0,2,1
25,26,WC-1950,1,first round,Group 4,2,T-07,1,0,0,1,0,8,0,0
26,27,WC-1950,2,final round,Group 1,1,T-84,3,2,1,0,7,5,5,1
27,28,WC-1950,2,final round,Group 1,2,T-09,3,2,0,1,14,4,4,0
28,29,WC-1950,2,final round,Group 1,3,T-74,3,1,0,2,6,11,2,0
29,30,WC-1950,2,final round,Group 1,4,T-73,3,0,1,2,4,11,1,0
30,31,WC-1954,1,group stage,Group 1,1,T-09,2,1,1,0,6,1,3,1
31,32,WC-1954,1,group stage,Group 1,2,T-87,2,1,1,0,2,1,3,1
32,33,WC-1954,1,group stage,Group 1,3,T-30,2,1,0,1,3,3,2,0
33,34,WC-1954,1,group stage,Group 1,4,T-46,2,0,0,2,2,8,0,0
34,35,WC-1954,1,group stage,Group 2,1,T-36,2,2,0,0,17,3,4,1
35,36,WC-1954,1,group stage,Group 2,2,T-86,2,1,0,1,7,9,2,1
36,37,WC-1954,1,group stage,Group 2,3,T-80,2,1,0,1,8,4,2,0
37,38,WC-1954,1,group stage,Group 2,4,T-71,2,0,0,2,0,16,0,0
38,39,WC-1954,1,group stage,Group 3,1,T-84,2,2,0,0,9,0,4,1
39,40,WC-1954,1,group stage,Group 3,2,T-05,2,2,0,0,6,0,4,1
40,41,WC-1954,1,group stage,Group 3,3,T-21,2,0,0,2,0,7,0,0
41,42,WC-1954,1,group stage,Group 3,4,T-64,2,0,0,2,0,8,0,0
42,43,WC-1954,1,group stage,Group 4,1,T-28,2,1,1,0,6,4,3,1
43,44,WC-1954,1,group stage,Group 4,2,T-75,2,1,0,1,2,3,2,1
44,45,WC-1954,1,group stage,Group 4,3,T-41,2,1,0,1,5,3,2,0
45,46,WC-1954,1,group stage,Group 4,4,T-06,2,0,1,1,5,8,1,0
46,47,WC-1958,1,group stage,Group 1,1,T-86,3,1,2,0,7,5,4,1
47,48,WC-1958,1,group stage,Group 1,2,T-52,3,1,1,1,4,5,3,1
48,49,WC-1958,1,group stage,Group 1,3,T-21,3,1,1,1,8,4,3,0
49,50,WC-1958,1,group stage,Group 1,4,T-03,3,1,0,2,5,10,2,0
50,51,WC-1958,1,group stage,Group 2,1,T-30,3,2,0,1,11,7,4,1
51,52,WC-1958,1,group stage,Group 2,2,T-87,3,1,2,0,7,6,4,1
52,53,WC-1958,1,group stage,Group 2,3,T-55,3,1,1,1,9,12,3,0
53,54,WC-1958,1,group stage,Group 2,4,T-64,3,0,1,2,4,6,1,0
54,55,WC-1958,1,group stage,Group 3,1,T-74,3,2,1,0,5,1,5,1
55,56,WC-1958,1,group stage,Group 3,2,T-85,3,0,3,0,2,2,3,1
56,57,WC-1958,1,group stage,Group 3,3,T-36,3,1,1,1,6,3,3,0
57,58,WC-1958,1,group stage,Group 3,4,T-46,3,0,1,2,1,8,1,0
58,59,WC-1958,1,group stage,Group 4,1,T-09,3,2,1,0,5,0,5,1
59,60,WC-1958,1,group stage,Group 4,2,T-72,3,1,1,1,4,4,3,1
60,61,WC-1958,1,group stage,Group 4,3,T-28,3,0,3,0,4,4,3,0
61,62,WC-1958,1,group stage,Group 4,4,T-05,3,0,1,2,2,7,1,0
62,63,WC-1962,1,group stage,Group 1,1,T-72,3,2,1,0,8,5,5,1
63,64,WC-1962,1,group stage,Group 1,2,T-87,3,2,0,1,8,3,4,1
64,65,WC-1962,1,group stage,Group 1,3,T-84,3,1,0,2,4,6,2,0
65,66,WC-1962,1,group stage,Group 1,4,T-16,3,0,1,2,5,11,1,0
66,67,WC-1962,1,group stage,Group 2,1,T-86,3,2,1,0,4,1,5,1
67,68,WC-1962,1,group stage,Group 2,2,T-13,3,2,0,1,5,3,4,1
68,69,WC-1962,1,group stage,Group 2,3,T-41,3,1,1,1,3,2,3,0
69,70,WC-1962,1,group stage,Group 2,4,T-75,3,0,0,3,2,8,0,0
70,71,WC-1962,1,group stage,Group 3,1,T-09,3,2,1,0,4,1,5,1
71,72,WC-1962,1,group stage,Group 3,2,T-21,3,1,1,1,2,3,3,1
72,73,WC-1962,1,group stage,Group 3,3,T-46,3,1,0,2,3,4,2,0
73,74,WC-1962,1,group stage,Group 3,4,T-73,3,1,0,2,2,3,2,0
74,75,WC-1962,1,group stage,Group 4,1,T-36,3,2,1,0,8,2,5,1
75,76,WC-1962,1,group stage,Group 4,2,T-28,3,1,1,1,4,3,3,1
76,77,WC-1962,1,group stage,Group 4,3,T-03,3,1,1,1,2,3,3,0
77,78,WC-1962,1,group stage,Group 4,4,T-10,3,0,1,2,1,7,1,0
78,79,WC-1966,1,group stage,Group 1,1,T-28,3,2,1,0,4,0,5,1
79,80,WC-1966,1,group stage,Group 1,2,T-84,3,1,2,0,2,1,4,1
80,81,WC-1966,1,group stage,Group 1,3,T-46,3,0,2,1,1,3,2,0
81,82,WC-1966,1,group stage,Group 1,4,T-30,3,0,1,2,2,5,1,0
82,83,WC-1966,1,group stage,Group 2,1,T-86,3,2,1,0,7,1,5,1
83,84,WC-1966,1,group stage,Group 2,2,T-03,3,2,1,0,4,1,5,1
84,85,WC-1966,1,group stage,Group 2,3,T-73,3,1,0,2,4,5,2,0
85,86,WC-1966,1,group stage,Group 2,4,T-75,3,0,0,3,1,9,0,0
86,87,WC-1966,1,group stage,Group 3,1,T-58,3,3,0,0,9,2,6,1
87,88,WC-1966,1,group stage,Group 3,2,T-36,3,2,0,1,7,5,4,1
88,89,WC-1966,1,group stage,Group 3,3,T-09,3,1,0,2,4,6,2,0
89,90,WC-1966,1,group stage,Group 3,4,T-10,3,0,0,3,1,8,0,0
90,91,WC-1966,1,group stage,Group 4,1,T-72,3,3,0,0,6,1,6,1
91,92,WC-1966,1,group stage,Group 4,2,T-51,3,1,1,1,2,4,3,1
92,93,WC-1966,1,group stage,Group 4,3,T-41,3,1,0,2,2,2,2,0
93,94,WC-1966,1,group stage,Group 4,4,T-13,3,0,1,2,2,5,1,0
94,95,WC-1970,1,group stage,Group 1,1,T-72,3,2,1,0,6,1,5,1
95,96,WC-1970,1,group stage,Group 1,2,T-46,3,2,1,0,5,0,5,1
96,97,WC-1970,1,group stage,Group 1,3,T-06,3,1,0,2,4,5,2,0
97,98,WC-1970,1,group stage,Group 1,4,T-27,3,0,0,3,0,9,0,0
98,99,WC-1970,1,group stage,Group 2,1,T-41,3,1,2,0,1,0,4,1
99,100,WC-1970,1,group stage,Group 2,2,T-84,3,1,1,1,2,1,3,1
100,101,WC-1970,1,group stage,Group 2,3,T-74,3,1,1,1,2,2,3,0
101,102,WC-1970,1,group stage,Group 2,4,T-40,3,0,2,1,1,3,2,0
102,103,WC-1970,1,group stage,Group 3,1,T-09,3,3,0,0,8,3,6,1
103,104,WC-1970,1,group stage,Group 3,2,T-28,3,2,0,1,2,1,4,1
104,105,WC-1970,1,group stage,Group 3,3,T-61,3,1,0,2,4,5,2,0
105,106,WC-1970,1,group stage,Group 3,4,T-21,3,0,0,3,2,7,0,0
106,107,WC-1970,1,group stage,Group 4,1,T-86,3,3,0,0,10,4,6,1
107,108,WC-1970,1,group stage,Group 4,2,T-56,3,2,0,1,7,5,4,1
108,109,WC-1970,1,group stage,Group 4,3,T-10,3,0,1,2,5,9,1,0
109,110,WC-1970,1,group stage,Group 4,4,T-47,3,0,1,2,2,6,1,0
110,111,WC-1974,1,first group stage,Group 1,1,T-24,3,2,1,0,4,1,5,1
111,112,WC-1974,1,first group stage,Group 1,2,T-86,3,2,0,1,4,1,4,1
112,113,WC-1974,1,first group stage,Group 1,3,T-13,3,0,2,1,1,2,2,0
113,114,WC-1974,1,first group stage,Group 1,4,T-04,3,0,1,2,0,5,1,0
114,115,WC-1974,1,first group stage,Group 2,1,T-87,3,1,2,0,10,1,4,1
115,116,WC-1974,1,first group stage,Group 2,2,T-09,3,1,2,0,3,0,4,1
116,117,WC-1974,1,first group stage,Group 2,3,T-64,3,1,2,0,3,1,4,0
117,118,WC-1974,1,first group stage,Group 2,4,T-88,3,0,0,3,0,14,0,0
118,119,WC-1974,1,first group stage,Group 3,1,T-48,3,2,1,0,6,1,5,1
119,120,WC-1974,1,first group stage,Group 3,2,T-74,3,1,2,0,3,0,4,1
120,121,WC-1974,1,first group stage,Group 3,3,T-10,3,0,2,1,2,5,2,0
121,122,WC-1974,1,first group stage,Group 3,4,T-84,3,0,1,2,1,6,1,0
122,123,WC-1974,1,first group stage,Group 4,1,T-57,3,3,0,0,12,3,6,1
123,124,WC-1974,1,first group stage,Group 4,2,T-03,3,1,1,1,7,5,3,1
124,125,WC-1974,1,first group stage,Group 4,3,T-41,3,1,1,1,5,4,3,0
125,126,WC-1974,1,first group stage,Group 4,4,T-34,3,0,0,3,2,14,0,0
126,127,WC-1974,2,second group stage,Group A,1,T-48,3,3,0,0,8,0,6,1
127,128,WC-1974,2,second group stage,Group A,2,T-09,3,2,0,1,3,3,4,1
128,129,WC-1974,2,second group stage,Group A,3,T-24,3,0,1,2,1,4,1,0
129,130,WC-1974,2,second group stage,Group A,4,T-03,3,0,1,2,2,7,1,0
130,131,WC-1974,2,second group stage,Group B,1,T-86,3,3,0,0,7,2,6,1
131,132,WC-1974,2,second group stage,Group B,2,T-57,3,2,0,1,3,2,4,1
132,133,WC-1974,2,second group stage,Group B,3,T-74,3,1,0,2,4,6,2,0
133,134,WC-1974,2,second group stage,Group B,4,T-87,3,0,0,3,2,6,0,0
134,135,WC-1978,1,first group stage,Group 1,1,T-41,3,3,0,0,6,2,6,1
135,136,WC-1978,1,first group stage,Group 1,2,T-03,3,2,0,1,4,3,4,1
136,137,WC-1978,1,first group stage,Group 1,3,T-30,3,1,0,2,5,5,2,0
137,138,WC-1978,1,first group stage,Group 1,4,T-36,3,0,0,3,3,8,0,0
138,139,WC-1978,1,first group stage,Group 2,1,T-57,3,2,1,0,4,1,5,1
139,140,WC-1978,1,first group stage,Group 2,2,T-86,3,1,2,0,6,0,4,1
140,141,WC-1978,1,first group stage,Group 2,3,T-79,3,1,1,1,3,2,3,0
141,142,WC-1978,1,first group stage,Group 2,4,T-46,3,0,0,3,2,12,0,0
142,143,WC-1978,1,first group stage,Group 3,1,T-05,3,2,0,1,3,2,4,1
143,144,WC-1978,1,first group stage,Group 3,2,T-09,3,1,2,0,2,1,4,1
144,145,WC-1978,1,first group stage,Group 3,3,T-73,3,1,1,1,2,2,3,0
145,146,WC-1978,1,first group stage,Group 3,4,T-74,3,0,1,2,1,3,1,0
146,147,WC-1978,1,first group stage,Group 4,1,T-56,3,2,1,0,7,2,5,1
147,148,WC-1978,1,first group stage,Group 4,2,T-48,3,1,1,1,5,3,3,1
148,149,WC-1978,1,first group stage,Group 4,3,T-64,3,1,1,1,5,6,3,0
149,150,WC-1978,1,first group stage,Group 4,4,T-38,3,0,1,2,2,8,1,0
150,151,WC-1978,2,second group stage,Group A,1,T-48,3,2,1,0,9,4,5,1
151,152,WC-1978,2,second group stage,Group A,2,T-41,3,1,1,1,2,2,3,1
152,153,WC-1978,2,second group stage,Group A,3,T-86,3,0,2,1,4,5,2,0
153,154,WC-1978,2,second group stage,Group A,4,T-05,3,1,0,2,4,8,2,0
154,155,WC-1978,2,second group stage,Group B,1,T-03,3,2,1,0,8,0,5,1
155,156,WC-1978,2,second group stage,Group B,2,T-09,3,2,1,0,6,1,5,1
156,157,WC-1978,2,second group stage,Group B,3,T-57,3,1,0,2,2,5,2,0
157,158,WC-1978,2,second group stage,Group B,4,T-56,3,0,0,3,0,10,0,0
158,159,WC-1982,1,first group stage,Group 1,1,T-57,3,1,2,0,5,1,4,1
159,160,WC-1982,1,first group stage,Group 1,2,T-41,3,0,3,0,2,2,3,1
160,161,WC-1982,1,first group stage,Group 1,3,T-11,3,0,3,0,1,1,3,0
161,162,WC-1982,1,first group stage,Group 1,4,T-56,3,0,2,1,2,6,2,0
162,163,WC-1982,1,first group stage,Group 2,1,T-86,3,2,0,1,6,3,4,1
163,164,WC-1982,1,first group stage,Group 2,2,T-05,3,2,0,1,3,1,4,1
164,165,WC-1982,1,first group stage,Group 2,3,T-01,3,2,0,1,5,5,4,0
165,166,WC-1982,1,first group stage,Group 2,4,T-13,3,0,0,3,3,8,0,0
166,167,WC-1982,1,first group stage,Group 3,1,T-06,3,2,1,0,3,1,5,1
167,168,WC-1982,1,first group stage,Group 3,2,T-03,3,2,0,1,6,2,4,1
168,169,WC-1982,1,first group stage,Group 3,3,T-36,3,1,1,1,12,6,3,0
169,170,WC-1982,1,first group stage,Group 3,4,T-27,3,0,0,3,1,13,0,0
170,171,WC-1982,1,first group stage,Group 4,1,T-28,3,3,0,0,6,1,6,1
171,172,WC-1982,1,first group stage,Group 4,2,T-30,3,1,1,1,6,5,3,1
172,173,WC-1982,1,first group stage,Group 4,3,T-21,3,0,2,1,2,4,2,0
173,174,WC-1982,1,first group stage,Group 4,4,T-45,3,0,1,2,2,6,1,0
174,175,WC-1982,1,first group stage,Group 5,1,T-52,3,1,2,0,2,1,4,1
175,176,WC-1982,1,first group stage,Group 5,2,T-73,3,1,1,1,3,3,3,1
176,177,WC-1982,1,first group stage,Group 5,3,T-87,3,1,1,1,2,2,3,0
177,178,WC-1982,1,first group stage,Group 5,4,T-35,3,0,2,1,2,3,2,0
178,179,WC-1982,1,first group stage,Group 6,1,T-09,3,3,0,0,10,2,6,1
179,180,WC-1982,1,first group stage,Group 6,2,T-72,3,1,1,1,6,4,3,1
180,181,WC-1982,1,first group stage,Group 6,3,T-64,3,1,1,1,8,8,3,0
181,182,WC-1982,1,first group stage,Group 6,4,T-49,3,0,0,3,2,12,0,0
182,183,WC-1982,2,second group stage,Group A,1,T-57,2,1,1,0,3,0,3,1
183,184,WC-1982,2,second group stage,Group A,2,T-72,2,1,1,0,1,0,3,0
184,185,WC-1982,2,second group stage,Group A,3,T-06,2,0,0,2,0,4,0,0
185,186,WC-1982,2,second group stage,Group B,1,T-86,2,1,1,0,2,1,3,1
186,187,WC-1982,2,second group stage,Group B,2,T-28,2,0,2,0,0,0,2,0
187,188,WC-1982,2,second group stage,Group B,3,T-73,2,0,1,1,1,2,1,0
188,189,WC-1982,2,second group stage,Group C,1,T-41,2,2,0,0,5,3,4,1
189,190,WC-1982,2,second group stage,Group C,2,T-09,2,1,0,1,5,4,2,0
190,191,WC-1982,2,second group stage,Group C,3,T-03,2,0,0,2,2,5,0,0
191,192,WC-1982,2,second group stage,Group D,1,T-30,2,2,0,0,5,1,4,1
192,193,WC-1982,2,second group stage,Group D,2,T-05,2,0,1,1,2,3,1,0
193,194,WC-1982,2,second group stage,Group D,3,T-52,2,0,1,1,3,6,1,0
194,195,WC-1986,1,group stage,Group A,1,T-03,3,2,1,0,6,2,5,1
195,196,WC-1986,1,group stage,Group A,2,T-41,3,1,2,0,5,4,4,1
196,197,WC-1986,1,group stage,Group A,3,T-10,3,0,2,1,2,4,2,1
197,198,WC-1986,1,group stage,Group A,4,T-71,3,0,1,2,4,7,1,0
198,199,WC-1986,1,group stage,Group B,1,T-46,3,2,1,0,4,2,5,1
199,200,WC-1986,1,group stage,Group B,2,T-55,3,1,2,0,4,3,4,1
200,201,WC-1986,1,group stage,Group B,3,T-06,3,1,1,1,5,5,3,1
201,202,WC-1986,1,group stage,Group B,4,T-39,3,0,0,3,1,4,0,0
202,203,WC-1986,1,group stage,Group C,1,T-72,3,2,1,0,9,1,5,1
203,204,WC-1986,1,group stage,Group C,2,T-30,3,2,1,0,5,1,5,1
204,205,WC-1986,1,group stage,Group C,3,T-36,3,1,0,2,2,9,2,0
205,206,WC-1986,1,group stage,Group C,4,T-12,3,0,0,3,0,5,0,0
206,207,WC-1986,1,group stage,Group D,1,T-09,3,3,0,0,5,0,6,1
207,208,WC-1986,1,group stage,Group D,2,T-73,3,2,0,1,5,2,4,1
208,209,WC-1986,1,group stage,Group D,3,T-52,3,0,1,2,2,6,1,0
209,210,WC-1986,1,group stage,Group D,4,T-01,3,0,1,2,1,5,1,0
210,211,WC-1986,1,group stage,Group E,1,T-22,3,3,0,0,9,1,6,1
211,212,WC-1986,1,group stage,Group E,2,T-86,3,1,1,1,3,4,3,1
212,213,WC-1986,1,group stage,Group E,3,T-84,3,0,2,1,2,7,2,1
213,214,WC-1986,1,group stage,Group E,4,T-64,3,0,1,2,1,3,1,0
214,215,WC-1986,1,group stage,Group F,1,T-47,3,1,2,0,3,1,4,1
215,216,WC-1986,1,group stage,Group F,2,T-28,3,1,1,1,3,1,3,1
216,217,WC-1986,1,group stage,Group F,3,T-57,3,1,1,1,1,3,3,1
217,218,WC-1986,1,group stage,Group F,4,T-58,3,1,0,2,2,4,2,0
218,219,WC-1990,1,group stage,Group A,1,T-41,3,3,0,0,4,0,6,1
219,220,WC-1990,1,group stage,Group A,2,T-21,3,2,0,1,6,3,4,1
220,221,WC-1990,1,group stage,Group A,3,T-05,3,1,0,2,2,3,2,0
221,222,WC-1990,1,group stage,Group A,4,T-83,3,0,0,3,2,8,0,0
222,223,WC-1990,1,group stage,Group B,1,T-11,3,2,0,1,3,5,4,1
223,224,WC-1990,1,group stage,Group B,2,T-61,3,1,1,1,4,3,3,1
224,225,WC-1990,1,group stage,Group B,3,T-03,3,1,1,1,3,2,3,1
225,226,WC-1990,1,group stage,Group B,4,T-72,3,1,0,2,4,4,2,0
226,227,WC-1990,1,group stage,Group C,1,T-09,3,3,0,0,4,1,6,1
227,228,WC-1990,1,group stage,Group C,2,T-17,3,2,0,1,3,2,4,1
228,229,WC-1990,1,group stage,Group C,3,T-64,3,1,0,2,2,3,2,0
229,230,WC-1990,1,group stage,Group C,4,T-74,3,0,0,3,3,6,0,0
230,231,WC-1990,1,group stage,Group D,1,T-86,3,2,1,0,10,3,5,1
231,232,WC-1990,1,group stage,Group D,2,T-87,3,2,0,1,6,5,4,1
232,233,WC-1990,1,group stage,Group D,3,T-16,3,1,1,1,3,2,3,1
233,234,WC-1990,1,group stage,Group D,4,T-82,3,0,0,3,2,11,0,0
234,235,WC-1990,1,group stage,Group E,1,T-73,3,2,1,0,5,2,5,1
235,236,WC-1990,1,group stage,Group E,2,T-06,3,2,0,1,6,3,4,1
236,237,WC-1990,1,group stage,Group E,3,T-84,3,1,1,1,2,3,3,1
237,238,WC-1990,1,group stage,Group E,4,T-71,3,0,0,3,1,6,0,0
238,239,WC-1990,1,group stage,Group F,1,T-28,3,1,2,0,2,1,4,1
239,240,WC-1990,1,group stage,Group F,2,T-60,3,0,3,0,2,2,3,1
240,241,WC-1990,1,group stage,Group F,3,T-48,3,0,3,0,2,2,3,1
241,242,WC-1990,1,group stage,Group F,4,T-26,3,0,2,1,1,2,2,0
242,243,WC-1991,1,group stage,Group A,1,T-14,3,2,1,0,10,3,5,1
243,244,WC-1991,1,group stage,Group A,2,T-53,3,2,0,1,6,5,4,1
244,245,WC-1991,1,group stage,Group A,3,T-22,3,1,1,1,6,4,3,1
245,246,WC-1991,1,group stage,Group A,4,T-49,3,0,0,3,1,11,0,0
246,247,WC-1991,1,group stage,Group B,1,T-83,3,3,0,0,11,2,6,1
247,248,WC-1991,1,group stage,Group B,2,T-74,3,2,0,1,12,3,4,1
248,249,WC-1991,1,group stage,Group B,3,T-09,3,1,0,2,1,7,2,0
249,250,WC-1991,1,group stage,Group B,4,T-44,3,0,0,3,0,12,0,0
250,251,WC-1991,1,group stage,Group C,1,T-31,3,3,0,0,9,0,6,1
251,252,WC-1991,1,group stage,Group C,2,T-41,3,2,0,1,6,2,4,1
252,253,WC-1991,1,group stage,Group C,3,T-15,3,1,0,2,2,8,2,1
253,254,WC-1991,1,group stage,Group C,4,T-50,3,0,0,3,0,7,0,0
254,255,WC-1994,1,group stage,Group A,1,T-61,3,2,0,1,5,5,6,1
255,256,WC-1994,1,group stage,Group A,2,T-75,3,1,1,1,5,4,4,1
256,257,WC-1994,1,group stage,Group A,3,T-83,3,1,1,1,3,3,4,1
257,258,WC-1994,1,group stage,Group A,4,T-16,3,1,0,2,4,5,3,0
258,259,WC-1994,1,group stage,Group B,1,T-09,3,2,1,0,6,1,7,1
259,260,WC-1994,1,group stage,Group B,2,T-74,3,1,2,0,6,4,5,1
260,261,WC-1994,1,group stage,Group B,3,T-62,3,1,0,2,7,6,3,0
261,262,WC-1994,1,group stage,Group B,4,T-11,3,0,1,2,3,11,1,0
262,263,WC-1994,1,group stage,Group C,1,T-31,3,2,1,0,5,3,7,1
263,264,WC-1994,1,group stage,Group C,2,T-73,3,1,2,0,6,4,5,1
264,265,WC-1994,1,group stage,Group C,3,T-71,3,0,2,1,4,5,2,0
265,266,WC-1994,1,group stage,Group C,4,T-07,3,0,1,2,1,4,1,0
266,267,WC-1994,1,group stage,Group D,1,T-50,3,2,0,1,6,2,6,1
267,268,WC-1994,1,group stage,Group D,2,T-10,3,2,0,1,6,3,6,1
268,269,WC-1994,1,group stage,Group D,3,T-03,3,2,0,1,6,3,6,1
269,270,WC-1994,1,group stage,Group D,4,T-33,3,0,0,3,0,10,0,0
270,271,WC-1994,1,group stage,Group E,1,T-46,3,1,1,1,3,3,4,1
271,272,WC-1994,1,group stage,Group E,2,T-60,3,1,1,1,2,2,4,1
272,273,WC-1994,1,group stage,Group E,3,T-41,3,1,1,1,2,2,4,1
273,274,WC-1994,1,group stage,Group E,4,T-53,3,1,1,1,1,1,4,0
274,275,WC-1994,1,group stage,Group F,1,T-48,3,2,0,1,4,3,6,1
275,276,WC-1994,1,group stage,Group F,2,T-63,3,2,0,1,4,3,6,1
276,277,WC-1994,1,group stage,Group F,3,T-06,3,2,0,1,2,1,6,1
277,278,WC-1994,1,group stage,Group F,4,T-47,3,0,0,3,2,5,0,0
278,279,WC-1995,1,group stage,Group A,1,T-31,3,2,0,1,9,4,6,1
279,280,WC-1995,1,group stage,Group A,2,T-74,3,2,0,1,5,3,6,1
280,281,WC-1995,1,group stage,Group A,3,T-44,3,1,0,2,2,4,3,1
281,282,WC-1995,1,group stage,Group A,4,T-09,3,1,0,2,3,8,3,0
282,283,WC-1995,1,group stage,Group B,1,T-53,3,3,0,0,17,0,9,1
283,284,WC-1995,1,group stage,Group B,2,T-28,3,2,0,1,6,6,6,1
284,285,WC-1995,1,group stage,Group B,3,T-12,3,0,1,2,5,13,1,0
285,286,WC-1995,1,group stage,Group B,4,T-50,3,0,1,2,5,14,1,0
286,287,WC-1995,1,group stage,Group C,1,T-83,3,2,1,0,9,4,7,1
287,288,WC-1995,1,group stage,Group C,2,T-14,3,2,1,0,10,6,7,1
288,289,WC-1995,1,group stage,Group C,3,T-22,3,1,0,2,6,5,3,1
289,290,WC-1995,1,group stage,Group C,4,T-04,3,0,0,3,3,13,0,0
290,291,WC-1998,1,group stage,Group A,1,T-09,3,2,0,1,6,3,6,1
291,292,WC-1998,1,group stage,Group A,2,T-53,3,1,2,0,5,4,5,1
292,293,WC-1998,1,group stage,Group A,3,T-47,3,1,1,1,5,5,4,0
293,294,WC-1998,1,group stage,Group A,4,T-64,3,0,1,2,2,6,1,0
294,295,WC-1998,1,group stage,Group B,1,T-41,3,2,1,0,7,3,7,1
295,296,WC-1998,1,group stage,Group B,2,T-13,3,0,3,0,4,4,3,1
296,297,WC-1998,1,group stage,Group B,3,T-05,3,0,2,1,3,4,2,0
297,298,WC-1998,1,group stage,Group B,4,T-11,3,0,2,1,2,5,2,0
298,299,WC-1998,1,group stage,Group C,1,T-30,3,3,0,0,9,1,9,1
299,300,WC-1998,1,group stage,Group C,2,T-22,3,1,1,1,3,3,4,1
300,301,WC-1998,1,group stage,Group C,3,T-70,3,0,2,1,3,6,2,0
301,302,WC-1998,1,group stage,Group C,4,T-63,3,0,1,2,2,7,1,0
302,303,WC-1998,1,group stage,Group D,1,T-50,3,2,0,1,5,5,6,1
303,304,WC-1998,1,group stage,Group D,2,T-55,3,1,2,0,3,1,5,1
304,305,WC-1998,1,group stage,Group D,3,T-73,3,1,1,1,8,4,4,0
305,306,WC-1998,1,group stage,Group D,4,T-10,3,0,1,2,1,7,1,0
306,307,WC-1998,1,group stage,Group E,1,T-48,3,1,2,0,7,2,5,1
307,308,WC-1998,1,group stage,Group E,2,T-46,3,1,2,0,7,5,5,1
308,309,WC-1998,1,group stage,Group E,3,T-06,3,0,3,0,3,3,3,0
